Citation Key	Citation_Key_Plus	Ion	frequency (Hz)	Se ( (V/m)^2/Hz	ωSe (V/m)^2	ω^3.2.Se (V/m)^2.sqrt(Hz)	d (μm)	T (K)	trap type	Plot	Reference No	Full Reference
Allcock2010	Allcock2010	40Ca	4.67E+005	2.00E-010	5.87E-004	1.01E+000	150	300	surface	1	31	D T C Allcock et al. New Journal of Physics 12:053026, 2010
Allcock2011a	Allcock2011a	40Ca	1.00E+006	5.00E-010	3.14E-003	7.87E+000	98	300	surface/slit	0	16	D T C Allcock et al. Applied Physics B, 107(4):913–919, November 2011
Allcock2011	Allcock2011	40Ca	1.60E+005	5.50E-010	5.53E-004	5.54E-001	98	300	surface/slit_after_laser_cleaning	0	15	D T C Allcock et al. New Journal of Physics, 13(12):123023, 2011
Allcock2011	Allcock2011	40Ca	1.00E+005	3.70E-009	2.32E-003	1.84E+000	98	300	surface/slit_before_laser_cleaning	0	15	D T C Allcock et al. New Journal of Physics, 13(12):123023, 2011
Allcock2013	Allcock2013	43Ca	5.00E+005	6.01E-011	1.60E-005	3.35E-001	75	300	surface	1	32	D T C Allcock et al. Applied Physics Letters 102:044103 2013
Amini2010	Amini2010evaporated	24Mg	3.50E+006	1.26E-009	2.77E-002	1.30E+002	38	300	surface	1	33	J M Amini et al. New Journal of Physics, 12(3):033031, March 2010
Amini2010	Amini2010electroplated	24Mg	4.50E+006	6.00E-011	1.70E-003	9.02E+000	40	300	surface	1	33	J M Amini et al. New Journal of Physics, 12(3):033031, March 2010
Britton2009	Britton2009	24Mg	1.13E+006	9.30E-011	6.57E-004	1.75E+000	40	300	surface/slit	0	NA	J Britton et al. Applied Physics Letters, 95(17):173102, 2009
Brown2011	Brown2011good	9Be	2.30E+006	2.49E-013	3.60E-006	1.37E-002	40	4	surface	1	34	K R Brown et al. Nature, 471(7337):196–9, March 2011
Brown2011	Brown2011bad	9Be	4.00E+006	3.10E-12	7.79E-005	3.90E-001	40	4	surface	1	34	K R Brown et al. Nature, 471(7337):196–9, March 2011
Brown2011	Brown2011bad	9Be	5.60E+006	1.74E-11	6.11E-004	3.62E+000	40	4	surface	1	34	K R Brown et al. Nature, 471(7337):196–9, March 2011
